label,value_1,value_2,value_3
geometry,"POLYGON ((-121.938283124 37.5334409070001, -121.936783124 37.5341409070001, -121.933583123 37.5356409080001, -121.926282123 37.539140909, -121.924837122 37.5400299090001, -121.924382122 37.5403409090001, -121.924180123 37.5400249090001, -121.923682123 37.539340909, -121.922382122 37.53774091, -121.921865122 37.537108909, -121.921482122 37.536640909, -121.920882122 37.5358409090001, -121.920682121 37.5349409090001, -121.920282121 37.5335409090001, -121.920182122 37.533240908, -121.919735121 37.531824908, -121.919582121 37.5313409090001, -121.919482121 37.530540909, -121.91868212 37.528040908, -121.91836912 37.526915908, -121.918182121 37.526240908, -121.91798212 37.525340908, -121.91800412 37.524438908, -121.918012121 37.5240899080001, -121.91801912 37.5237959080001, -121.91805212 37.5224179090001, -121.918082119 37.5211409070001, -121.91848212 37.5193409080001, -121.918570119 37.518949907, -121.918753119 37.518143907, -121.91882512 37.5178279080001, -121.919177119 37.5162719080001, -121.919631118 37.514267907, -121.919682119 37.514040908, -121.92077812 37.514197907, -121.920859119 37.5142089070001, -121.921124119 37.514246907, -121.921782119 37.5143409070001, -121.92268212 37.514540907, -121.923570119 37.5146889060001, -121.92400212 37.514760906, -121.92448212 37.5148409070001, -121.926082121 37.515141907, -121.926787119 37.515053907, -121.927394121 37.5149779070001, -121.928193121 37.514877906, -121.93021412 37.514624907, -121.930882121 37.5145419070001, -121.932483121 37.5144419060001, -121.933127121 37.5143499060001, -121.934583121 37.5141419060001, -121.937283121 37.514941906, -121.937883122 37.5148419070001, -121.938384122 37.5147269060001, -121.939098123 37.514563905, -121.939783122 37.5144419060001, -121.940083123 37.514941906, -121.941639122 37.517441906, -121.942883123 37.5194419060001, -121.943683123 37.5203419060001, -121.945761124 37.5230399060001, -121.946443124 37.5240139060001, -121.946716124 37.524585906, -121.946833124 37.525281906, -121.946969124 37.526162906, -121.947028125 37.5270289060001, -121.946989124 37.527553907, -121.946930125 37.5278789060001, -121.946813125 37.5282659060001, -121.946560125 37.5286519060001, -121.946383124 37.5289409060001, -121.945383124 37.5297409070001, -121.944703125 37.530115906, -121.943265125 37.530909906, -121.942490125 37.531312907, -121.940738124 37.532210907, -121.940483124 37.532340907, -121.938283124 37.5334409070001))","POLYGON ((-121.938283124 37.5334409070001, -121.936783124 37.5341409070001, -121.933583123 37.5356409080001, -121.926282123 37.539140909, -121.924837122 37.5400299090001, -121.924382122 37.5403409090001, -121.924180123 37.5400249090001, -121.923682123 37.539340909, -121.922382122 37.53774091, -121.921865122 37.537108909, -121.921482122 37.536640909, -121.920882122 37.5358409090001, -121.920682121 37.5349409090001, -121.920282121 37.5335409090001, -121.920182122 37.533240908, -121.919735121 37.531824908, -121.919582121 37.5313409090001, -121.919482121 37.530540909, -121.91868212 37.528040908, -121.91836912 37.526915908, -121.918182121 37.526240908, -121.91798212 37.525340908, -121.91800412 37.524438908, -121.918012121 37.5240899080001, -121.91801912 37.5237959080001, -121.91805212 37.5224179090001, -121.918082119 37.5211409070001, -121.91848212 37.5193409080001, -121.918570119 37.518949907, -121.918753119 37.518143907, -121.91882512 37.5178279080001, -121.919177119 37.5162719080001, -121.919631118 37.514267907, -121.919682119 37.514040908, -121.92077812 37.514197907, -121.920859119 37.5142089070001, -121.921124119 37.514246907, -121.921782119 37.5143409070001, -121.92268212 37.514540907, -121.923570119 37.5146889060001, -121.92400212 37.514760906, -121.92448212 37.5148409070001, -121.926082121 37.515141907, -121.926787119 37.515053907, -121.927394121 37.5149779070001, -121.928193121 37.514877906, -121.93021412 37.514624907, -121.930882121 37.5145419070001, -121.932483121 37.5144419060001, -121.933127121 37.5143499060001, -121.934583121 37.5141419060001, -121.937283121 37.514941906, -121.937883122 37.5148419070001, -121.938384122 37.5147269060001, -121.939098123 37.514563905, -121.939783122 37.5144419060001, -121.940083123 37.514941906, -121.941639122 37.517441906, -121.942883123 37.5194419060001, -121.943683123 37.5203419060001, -121.945761124 37.5230399060001, -121.946443124 37.5240139060001, -121.946716124 37.524585906, -121.946833124 37.525281906, -121.946969124 37.526162906, -121.947028125 37.5270289060001, -121.946989124 37.527553907, -121.946930125 37.5278789060001, -121.946813125 37.5282659060001, -121.946560125 37.5286519060001, -121.946383124 37.5289409060001, -121.945383124 37.5297409070001, -121.944703125 37.530115906, -121.943265125 37.530909906, -121.942490125 37.531312907, -121.940738124 37.532210907, -121.940483124 37.532340907, -121.938283124 37.5334409070001))","POLYGON ((-121.938283124 37.5334409070001, -121.936783124 37.5341409070001, -121.933583123 37.5356409080001, -121.926282123 37.539140909, -121.924837122 37.5400299090001, -121.924382122 37.5403409090001, -121.924180123 37.5400249090001, -121.923682123 37.539340909, -121.922382122 37.53774091, -121.921865122 37.537108909, -121.921482122 37.536640909, -121.920882122 37.5358409090001, -121.920682121 37.5349409090001, -121.920282121 37.5335409090001, -121.920182122 37.533240908, -121.919735121 37.531824908, -121.919582121 37.5313409090001, -121.919482121 37.530540909, -121.91868212 37.528040908, -121.91836912 37.526915908, -121.918182121 37.526240908, -121.91798212 37.525340908, -121.91800412 37.524438908, -121.918012121 37.5240899080001, -121.91801912 37.5237959080001, -121.91805212 37.5224179090001, -121.918082119 37.5211409070001, -121.91848212 37.5193409080001, -121.918570119 37.518949907, -121.918753119 37.518143907, -121.91882512 37.5178279080001, -121.919177119 37.5162719080001, -121.919631118 37.514267907, -121.919682119 37.514040908, -121.92077812 37.514197907, -121.920859119 37.5142089070001, -121.921124119 37.514246907, -121.921782119 37.5143409070001, -121.92268212 37.514540907, -121.923570119 37.5146889060001, -121.92400212 37.514760906, -121.92448212 37.5148409070001, -121.926082121 37.515141907, -121.926787119 37.515053907, -121.927394121 37.5149779070001, -121.928193121 37.514877906, -121.93021412 37.514624907, -121.930882121 37.5145419070001, -121.932483121 37.5144419060001, -121.933127121 37.5143499060001, -121.934583121 37.5141419060001, -121.937283121 37.514941906, -121.937883122 37.5148419070001, -121.938384122 37.5147269060001, -121.939098123 37.514563905, -121.939783122 37.5144419060001, -121.940083123 37.514941906, -121.941639122 37.517441906, -121.942883123 37.5194419060001, -121.943683123 37.5203419060001, -121.945761124 37.5230399060001, -121.946443124 37.5240139060001, -121.946716124 37.524585906, -121.946833124 37.525281906, -121.946969124 37.526162906, -121.947028125 37.5270289060001, -121.946989124 37.527553907, -121.946930125 37.5278789060001, -121.946813125 37.5282659060001, -121.946560125 37.5286519060001, -121.946383124 37.5289409060001, -121.945383124 37.5297409070001, -121.944703125 37.530115906, -121.943265125 37.530909906, -121.942490125 37.531312907, -121.940738124 37.532210907, -121.940483124 37.532340907, -121.938283124 37.5334409070001))"
TOTHH,3082.0,3082.0,3082.0
TOTPOP,10240.0,10240.0,10240.0
EMPRES,4167.0,4167.0,4167.0
HHINCQ1,261.0,261.0,261.0
HHINCQ2,279.0,279.0,279.0
HHINCQ3,314.0,314.0,314.0
HHINCQ4,2228.0,2228.0,2228.0
AGE0004,567.0,567.0,567.0
AGE0519,2687.0,2687.0,2687.0
AGE2044,2824.0,2824.0,2824.0
AGE4564,3245.0,3245.0,3245.0
AGE64P,917.0,917.0,917.0
AGE62P,1255.0,1255.0,1255.0
SHPOP62P,0.12255859375,0.12255859375,0.12255859375
TOTEMP,1118.0,1118.0,1118.0
RETEMPN,112.0,112.0,112.0
FPSEMPN,324.0,324.0,324.0
HEREMPN,147.0,147.0,147.0
AGREMPN,4.0,4.0,4.0
MWTEMPN,86.0,86.0,86.0
OTHEMPN,445.0,445.0,445.0
TOTACRE,1302.9954087860706,1302.9954087860706,1302.9954087860706
HSENROLL,622.0,622.0,622.0
TOPOLOGY,1,1,1
employment_density,0.8580229772579009,0.8580229772579009,0.8580229772579009
pop_density,7.858815104759308,7.858815104759308,7.858815104759308
hh_density,2.3653191555535336,2.3653191555535336,2.3653191555535336
hq1_density,0.20030768968185345,0.20030768968185345,0.20030768968185345
PRKCST,0.0,0.0,0.0
OPRKCST,0.0,0.0,0.0
COLLFTE,0.0,0.0,0.0
COLLPTE,0.0,0.0,0.0
TERMINAL,0,0,0
area_type_metric,10.003872547904061,10.003872547904061,10.003872547904061
area_type,4,4,4
county_id,1,1,1
density_index,0.6296254323592501,0.6296254323592501,0.6296254323592501
